system:index,latitude,longitude,occurrence,point_id,.geo
0_0,41.43816116232839,2.0997670608651617,0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0997670608651617,41.43816116232839]}"
1_0,41.45594780495396,2.1916647144305728,0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1916647144305728,41.45594780495396]}"
2_0,41.37644690230938,2.102462006717502,0,2.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.102462006717502,41.37644690230938]}"
3_0,41.39665899620207,2.1396522594800444,0,3.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1396522594800444,41.39665899620207]}"
5_0,41.36809257016707,2.043173197965615,0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.043173197965615,41.36809257016707]}"
6_0,41.43357975437938,2.2116073137380283,0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2116073137380283,41.43357975437938]}"
7_0,41.46645809377816,2.190047746919163,0,6.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.190047746919163,41.46645809377816]}"
9_0,41.45298336451636,2.1946291548681813,0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1946291548681813,41.45298336451636]}"
10_0,41.49206007937556,2.187352801066794,0,8.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.187352801066794,41.49206007937556]}"
11_0,41.4494799349083,2.1803459418506748,0,9.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1803459418506748,41.4494799349083]}"
12_0,41.37348246187179,2.1407302378210034,0,10.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1407302378210034,41.37348246187179]}"
13_0,41.31661910438702,2.042903703380375,0,11.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.042903703380375,41.31661910438702]}"
14_0,41.38372325611075,2.1296809598263167,0,12.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1296809598263167,41.38372325611075]}"
16_0,41.45675628870967,2.0962636312570737,0,13.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0962636312570737,41.45675628870967]}"
17_0,41.49879744400646,2.2240040646588852,0,14.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2240040646588852,41.49879744400646]}"
19_0,41.36566711889995,2.089795761211434,0,15.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.089795761211434,41.36566711889995]}"
20_0,41.33467524159782,2.058534389324052,0,16.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.058534389324052,41.33467524159782]}"
22_0,41.32982433906358,2.0243085769991183,0,17.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0243085769991183,41.32982433906358]}"
24_0,41.48451423098896,2.2886827651154817,0,18.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2886827651154817,41.48451423098896]}"
25_0,41.41255917673099,2.1668712125888874,0,19.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1668712125888874,41.41255917673099]}"
26_0,41.453522353686836,2.15636092376468,0,20.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.15636092376468,41.453522353686836]}"
27_0,41.3780638698208,2.176034028486896,0,21.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.176034028486896,41.3780638698208]}"
30_0,41.34329906832537,2.1016535229618114,0,22.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1016535229618114,41.34329906832537]}"
31_0,41.44678498905594,2.155552440008961,0,23.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.155552440008961,41.44678498905594]}"
32_0,41.409864230878625,2.1070434146665207,0,24.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1070434146665207,41.409864230878625]}"
34_0,41.41363715507193,2.1746865555607258,0,25.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1746865555607258,41.41363715507193]}"
37_0,41.4675360721191,2.0876398045295446,0,26.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0876398045295446,41.4675360721191]}"
41_0,41.36324166763283,2.0213441365615097,0,27.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0213441365615097,41.36324166763283]}"
42_0,41.45675628870967,2.066080237710679,0,28.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.066080237710679,41.45675628870967]}"
44_0,41.447054483641175,2.0313154362152375,0,29.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0313154362152375,41.447054483641175]}"
45_0,41.37833336440603,2.1224046060249577,0,30.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1224046060249577,41.37833336440603]}"
46_0,41.45244437534589,2.1364183244572246,0,31.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1364183244572246,41.45244437534589]}"
47_0,41.47696838260236,2.181693414776845,0,32.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.181693414776845,41.47696838260236]}"
48_0,41.35273137880863,2.095455147501383,0,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.095455147501383,41.35273137880863]}"
49_0,41.469961523386225,2.243946663966341,0,34.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.243946663966341,41.469961523386225]}"
50_0,41.368631559337544,2.136957313627704,0,35.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.136957313627704,41.368631559337544]}"
51_0,41.42711188433372,2.149084569963321,0,36.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.149084569963321,41.42711188433372]}"
54_0,41.46672758836339,2.2342448588978527,0,37.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2342448588978527,41.46672758836339]}"
55_0,41.42765087350419,2.1544744616680305,0,38.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1544744616680305,41.42765087350419]}"
57_0,41.383453761525516,2.1356098407015054,0,39.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1356098407015054,41.383453761525516]}"
59_0,41.46025971831773,2.238017783091152,0,40.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.238017783091152,41.46025971831773]}"
60_0,41.438700151498864,2.1962461223795913,0,41.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1962461223795913,41.438700151498864]}"
61_0,41.4713089963124,2.030237457874307,0,42.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.030237457874307,41.4713089963124]}"
63_0,41.42926784101561,2.1943596602829416,0,43.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1943596602829416,41.42926784101561]}"
64_0,41.44085610818075,2.0571869163978818,0,44.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0571869163978818,41.44085610818075]}"
65_0,41.35650430300193,2.086022837018106,0,45.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.086022837018106,41.35650430300193]}"
66_0,41.38992163157118,2.10919937134841,0,46.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.10919937134841,41.38992163157118]}"
