Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
08001 Abrera;;;Renta neta media por persona;2023;16.682
08001 Abrera;0800101 Abrera distrito 01;;Renta neta media por persona;2023;16.682
08001 Abrera;0800101 Abrera distrito 01;0800101001 Abrera sección 01001;Renta neta media por persona;2023;16.065
08001 Abrera;0800101 Abrera distrito 01;0800101002 Abrera sección 01002;Renta neta media por persona;2023;15.216
08001 Abrera;0800101 Abrera distrito 01;0800101003 Abrera sección 01003;Renta neta media por persona;2023;19.616
08001 Abrera;0800101 Abrera distrito 01;0800101004 Abrera sección 01004;Renta neta media por persona;2023;17.622
08001 Abrera;0800101 Abrera distrito 01;0800101005 Abrera sección 01005;Renta neta media por persona;2023;15.613
08001 Abrera;0800101 Abrera distrito 01;0800101007 Abrera sección 01007;Renta neta media por persona;2023;17.167
08001 Abrera;0800101 Abrera distrito 01;0800101008 Abrera sección 01008;Renta neta media por persona;2023;17.068
08001 Abrera;0800101 Abrera distrito 01;0800101009 Abrera sección 01009;Renta neta media por persona;2023;16.587
08002 Aguilar de Segarra;;;Renta neta media por persona;2023;18.693
08002 Aguilar de Segarra;0800201 Aguilar de Segarra distrito 01;;Renta neta media por persona;2023;18.693
08002 Aguilar de Segarra;0800201 Aguilar de Segarra distrito 01;0800201001 Aguilar de Segarra sección 01001;Renta neta media por persona;2023;18.693
08003 Alella;;;Renta neta media por persona;2023;25.382
08003 Alella;0800301 Alella distrito 01;;Renta neta media por persona;2023;25.382
08003 Alella;0800301 Alella distrito 01;0800301001 Alella sección 01001;Renta neta media por persona;2023;23.964
08003 Alella;0800301 Alella distrito 01;0800301002 Alella sección 01002;Renta neta media por persona;2023;25.722
08003 Alella;0800301 Alella distrito 01;0800301003 Alella sección 01003;Renta neta media por persona;2023;26.881
08003 Alella;0800301 Alella distrito 01;0800301004 Alella sección 01004;Renta neta media por persona;2023;25.650
08003 Alella;0800301 Alella distrito 01;0800301005 Alella sección 01005;Renta neta media por persona;2023;23.444
08004 Alpens;;;Renta neta media por persona;2023;19.367
08004 Alpens;0800401 Alpens distrito 01;;Renta neta media por persona;2023;19.367
08004 Alpens;0800401 Alpens distrito 01;0800401001 Alpens sección 01001;Renta neta media por persona;2023;19.367
08005 Ametlla del Vallès, L';;;Renta neta media por persona;2023;21.257
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;;Renta neta media por persona;2023;21.257
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501001 Ametlla del Vallès, L' sección 01001;Renta neta media por persona;2023;20.592
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501002 Ametlla del Vallès, L' sección 01002;Renta neta media por persona;2023;22.563
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501003 Ametlla del Vallès, L' sección 01003;Renta neta media por persona;2023;22.609
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501004 Ametlla del Vallès, L' sección 01004;Renta neta media por persona;2023;19.848
08005 Ametlla del Vallès, L';0800501 Ametlla del Vallès, L' distrito 01;0800501005 Ametlla del Vallès, L' sección 01005;Renta neta media por persona;2023;18.163
08006 Arenys de Mar;;;Renta neta media por persona;2023;16.679
08006 Arenys de Mar;0800601 Arenys de Mar distrito 01;;Renta neta media por persona;2023;17.046
08006 Arenys de Mar;0800601 Arenys de Mar distrito 01;0800601001 Arenys de Mar sección 01001;Renta neta media por persona;2023;16.570
